,Position,Description
184,185. Backwards Cowgirl,"It is important to control not only the body, but also emotions and feelings of the partner, to saturate him with intimacy and passion, then he or she will be completely at the mercy of your shackles. The male partner sits, his legs are straight and slightly driven apart, back is straight. The woman sits on top of her man, her legs are bent in knees and lied along his buttocks. Female partner’s hands are outstretched forward, she is located slightly below the knees of the man and makes support on them, back is arched and his head is turned to the half-turn to see the man. The male partner takes in his palm a breast of his lady and fondles it during sex."
185,186. Brute,"You can make your partner crazy by sliding movements, especially if you are inside each other, and your bodies are naked, horny and you are having sex. The woman lies on her back and takes the pose of birch, she only spreads her feet on the sides and inclines them more to her head, and her arms are straight on the floor. The male partner sits on his mistress’ buttocks with his arms he takes her thighs from the inside and supports her in this not very comfortable position. Notice that the man should not lean with all his weight on the legs of his woman, even though he sits down, but holds his body on bent legs."
186,187. Ice cream,"Making love, the partners always enjoy not only physically, but also moral and all the pressing matters just melt and fade into the background. The man sits on his legs and his back is straight. The woman sits on the partner as on a chair, her legs are bent and opened apart so that the man’s knees are between them. She holds hands around the male partner’s hips, offers him the neck with head leaned backwards a little, in his turn, he puts his hands on her breast, caresses her and kisses her neck gently."
187,188. Hero,"To be a hero in life is a very great achievement, and work on oneself. To be a hero in bed is a big bonus for the one, who will be there for you, but remember, that the heroes have a dual responsibility and have no right to make mistakes. The woman lies with her buttocks on a pillow, arms are extended along the body, one leg is bent in knee, the other one is straight. The male partner is located sideward of his beloved on his knees, his legs are driven apart. One hand the man puts on the woman’s crotch and caresses it, with the second hand he takes up the ankle on the straight leg."
188,189. Oath,"Without saying a word, you can promise pretty much, enjoyment, satisfaction, animal passion, you don’t need to speak, your body is more eloquent. The man stands on his knees and opens them with holding his back straight, the woman also stands on her knees, nestling tightly with her back to her partner’s chest. Her legs are between his legs, she hugs his neck with one hand, giving access to her breast. The position is very sensual and will be more suitable for a loving couple that gets pleasure not only from physical contact, but from the physical intimacy and caresses."
189,190. Cowboy,"For the man it is important to dominate in bed and it is an ideal position to prove that you are a real male who knows how not only to attract attention but also to satisfy his lady. The woman stands on all fours – elbows and knees, but more downwards. Her legs are driven apart, palms are nearby. The male partner crouches over his lady so that his feet are next to her knees, his arms are straight, palms are doubled in fists and are located on the floor on both sides of the female partner, the main support is on them. The position a little primitive, but still can work."
190,191. Liana,"You seem to be absorbed by each other, the world has stopped and you can hear only sound of the heart, excited breath that sounds interrupting yours. The man squats and rises on his tiptoes. The woman sits on his hips, skewing herself on his penis from top, she touches the floor with her feet leaning on them. The man hugs his mistress putting the hands behind her back, the woman embraces her partner’s neck, you can also throw the hands a little lower. The couple seems to coil round with each other, the woman sets the rhythm of penetrations and the most amazing thing is that they can be kissing until they get fainted."
191,192. Dragon,"In this position the woman gets very vivid emotions with oral sex, since her body is completely open to both, her male partner and herself at the same time. She can’t miss such a chance, you should try it . The male partner sits on his legs and slightly spreads them apart. The woman lies down on his knees for her head and shoulders to be lying at the feet of the man, she bends a little her legs at the knees and spreads them as wide as she can. The partner inclines his head forward and caresses the crotch of his mistress with his mouth and hands, or she can have some fun with her hands, as you wish."
192,193. Plumber,"This is a very interesting and non-standard position for a blowjob, which you certainly should try with your male partner. The man stands with his legs at shoulder length and squats in such position. The woman stands on her knees in front of him and elbows facing his intimate zone. The male partner’s arms are on her back; he can stroke and massage the back of his woman, or simply stand still and have fun. As a prelude to good sex, this position can be a very good option."
193,194. Ribbon (reverse spoon),"Each position allows you to get some new experience, this is suitable for a smooth, calm and gentle sex in which you will discover each other in a new way. The woman lies on her side, legs are together and straight, one arm is bent in elbow under the head. The male partner lies on his side behind the lady, face to her feet, holding his head on a bent elbow. The second hand of the man is placed on the female partner’s hip, his legs are also bent in knees and slightly driven apart, and feet are together. The second hand of the female partner is on the man’s thigh."
194,195. Bridge,"And again in the role of the couch will be the man, of course for this he must be in good physical shape, otherwise the idea can be compromised, this position is very unusual. The man sits down with legs bent at the knees, he puts his hands back, the woman sits on his hands with face to the male partner and throws her legs over his shoulders while hugging his neck. After that, the male partner begins to rise gradually, he must hold his female partner on his body, leaning on his feet and hands, with that his mistress moves too, so it can be difficult for the man to keep his balance."
195,196. Airplane,"This position is not too intricate that it may seem at first glance, the main thing is to have good flexibility, and of course the desire to have sex with your partner, then you will succeed. The man sits down with legs driven apart. The woman sits on the hands to her male partner with her back to him, her legs are straight and are widely spread to the sides for the male partner’s legs to be between her own. The man puts his hands on his mistress’ waist and she straddles his penis thus making movements. With one hand she caresses testicles of her male partner, and with the second hand her crotch."
196,197. Spider Monkey,"In this position, the technique is very complicated, so be sure to listen to your own feelings and do not risk, if you are not sure in your abilities not to get injured.  The male partner stands on his toes, with his feet shoulder width. The woman stands on her head with arms bent at the elbows and lifted up, they stand at the base of the head for the support to be also on them. Legs of the female partner are bent at the knees and spread on sides, the male partner takes his mistress on her feet with his hands, helping her in such a way to be in this position. It is not recommended to be standing upside down."
197,198. Leopard,"Sexual desire is a real hunger, which can be satisfied only with the help of the male partner, the same passionate, insatiable and playful, as you yourself. The man sits down at his feet and leans backwards a little. He props himself up with his hand. The woman sits on the penis and leans forward, her legs spread apart and the feet are next to the male partner’s legs. She puts hands in front of her and uses them for support, leans a bit, the male partner puts his free hand on her buttocks and moves them to the rhythm of his quickened movements."
198,199. Nirvana,"An interesting position for those, who practice different types of sex. It allows you to get to know each other closely and deeply, big role is played by tactile feelings. The woman lies on her back, one arm is put behind the head, feet together are raised up. The man stands on his knees at the female partner’s buttocks, legs are driven widely apart, the head is located between the raised legs of the female partner in the shins, hands are placed on his beloved breast and caresses them during sex. The woman also puts the second hand on her male partner thigh and strokes it."
199,200. Taurus,"There can be billions of stars on the sky but the brightest of all of them turned out to be next to you, so you must your best to make it flashed. The man stands straight, with his feet shoulder-width apart. His female partner stands next to him with her back and bends her body down so that only her buttocks could touch his reins. She pulls her hands forward and touches the fingertips of her feet; he holds her by the waist and does his best to make this sex action an unforgettable experience for both of them. The position is simple but flexibility will be not odd, however, the most important question is not how, but with whom!"
200,201. Fan,"Do not feel ashamed to use your knowledge and skills in intimate relations in practice, because sex – is also a school, but the marks here are measured in pleasure and appreciation – in orgasms. The woman lies face down, arms are bent in elbows, squeezed together and under the face, legs are slightly bent in knees and driven widely apart. The male partner squats above the lady’s buttocks, pulls one hand back between her legs, rather near her feet, and is stressing on his palm. His legs are driven wide apart, the body is tilted back and with the other hand he directs his penis."
201,202. Pisces,"Taste your female partner, learn her better, find all her sensuous places and you will be able to give her incredible pleasure that will be followed by the mutual reward. The man sits on his feet, the woman lies down on his knees, the female partner’s head is on the floor, legs are straight, slightly driven apart and half pressed to the body with her hands she holds herself for her knees. The man leans forward so that his face is between her female partner’s legs, and his hands he puts on her thighs for fixing the lady in this position."
202,203. Jackhammer,"Oral sex can also be vanilla like, and more rough, intense, depending on desires and mood, but do not skip the line and try to maintain a balance. The man stands, with feet shoulder-width, knees are slightly bent. The woman sits between her male partner’s feet, throws her head up, her legs are bent in knees and driven apart, one hand is on the male partner’s waist, the second one is on his penis. Hands of the man are on his lady’s face, with which he can perform the movements. If desired, the female partner can simultaneously fondle her crotch with her hand."
203,204. T Square,"In sex, as well as in war, all methods are good, so if at first glance this position seems convoluted to you, trying it, you can completely change your mind. The woman lies on her back, bending her knees, driving them apart and picks them up. With one hand she holds herself for her ankle, with the second one she is caressing her crotch. The male partner lies on his side so that his penis penetrates into the female partner’s vagina. Man’s legs are slightly bent in knees and driven apart, with one hand he holds his female partner’s knee, with the second one, lifted up, she holds her foot."
204,205. Puzzle,"The bodies look like they run together, they are moved only with passion and a feeling of inevitable delight. The man sits and spreads his legs, and the woman lays and leans on elbows between the man’s legs and their genitals are in tight contact. Legs of the female partner are on the man’s shoulders and are closed behind his neck. This position is very sexual as the free hand of the woman allow her to make miracles with her body, and the male partner can just be watching and admiring it."
205,206. Crucifixion,"It is an explicit position in which the partners will have to twist and turn to find the most comfortable position, and then everything will be fine. The man sits down on his feet, moves backwards and rests upon his hands wide apart. The woman sits on the penis with her back to the male partner, as if she half sits on the man’s legs, but keeps on her toes. The female partner’s head is slightly backwards holding the elbows of the male partner. Continuous sexual intercourse in this position may be difficult, but one should experiment."
206,207. Piledriver,"This position is suitable for those partners who are tired of usual classical options, it will be a breath of fresh air for those who are not very fond of experimenting. The woman lies on her back takes position of birch that is when legs are straight and are raised up as much as possible. The man stands on his feet, his one leg is straight, the other one is bent at the knee, and the support is on it on the side. He throws one leg of his female partner on the arm at the shoulder, her second leg the woman presses to the body. She holds the man’s knee with one hand, and he holds her foot and caresses her crotch."
207,208. Cello,"To be able to play on the strings of soul of your partner, is of course very good, but it is important to learn how to play on the strings of his body, because it is also incredibly nice, it brings the partners close together. The woman lies on her stomach, hands behind her back, legs are driven apart. The male partner ceases on his knees, driving them widely apart, between her legs, with his hands he takes her by the hips and slightly raises the body of his mistress. The woman bends her knees and throws them on the male partner’s waist, for better retaining in that position."
208,209. Captain,"During the intercourse, you need to “ignite” your partner, give him inner warmth and kindle the spark that will not let you get to sleep until the very morning in each other’s arms. The woman lies on her back, legs are straight and lifted up. The male partner sits down on his knees next to the woman’ buttocks, legs are driven wide. With his hands, the man takes his partner’s ankles and spreads her legs apart, he sees very exciting view. With one hand the woman caresses her crotch, the other one she puts on the male partner’s thigh and gently strokes it."
209,210. Prison Guard,"In your hands there is a real hostage, with who you can do anything, to please, to love, to drive to madness, most importantly, do not forget to pre-discuss the acceptable limit, so that she would not want to run away from you. The man stands with feet at shoulders width. The female partner stands back to him, legs are slightly apart and bent in knees, the body is bent forward, hands are pulled behind the back. The male partner takes with his hands the woman’s wrists and penetrates in her from behind. This position will be appreciated by the men who like to dominate, if the woman does not mind, why not."
210,211. Emperor,"You seem to be created for each other – he complements his mistress, she admires him and inspires for feats. This is an extra-harmonious duet. The female partner lies sideways and holds her head with her arm bent in the elbow, to make her face be lifted up. Her legs are slightly bent at the knees; she can caress her breast with another arm. The man is behind his mistress vertically to her body. He is on his knees his legs are opened as much as it is necessary for comfortable penetration. As the man’s arms free, he can push the woman to the beat with his one arm, and caress her breast and crotch with the second one."
211,212. Virgo,"A daring and indestructible woman, even the most imperturbable and rebellious one, will melt in hands of her male partner, who will satisfy her with oral sex. If you want to encourage or punish your lady – this method is perfect. The woman is standing, arms are raised above her head, palms are together, legs are straight, at the shoulders width. The man sits between his female partner’s legs in the lotus position, his mouth is in front of the darling’s crotch, one hand is on her buttock, with the second one he strokes her thigh. Forbid her to put the hands down, and in five minutes she will beg for mercy."
212,213. Staff,"If your female partner does not want to make you a blowjob for any reasons, try just to undress, take this position and say that she will not have to strain, the result will be on your side. The man stands on his head with arms bent at the elbows and next to the head, he makes main support on them, his legs are straight and pressed together. The woman stands on her knees in front of the man for his face to be between her legs, she puts her hands on her male partner’s hips or can help with them to fondle his penis, testicles, you can decide it individually."
213,214. Unicorn,"If in a couple someone has “horns”, it is certainly a serious reason to think it over and change the partner, but if you just want to try sex in a position of Unicorn – it is an excellent idea, requiring no delay. The man lies on his side, legs are straight, slightly driven apart, but feet are together on each other. The woman lies with her back to the male partner, even a little sideways in relation to his position. Her legs are spread wide apart, knees are bent, with one hand the male partner takes her ankle, she takes herself on the same knee, with the other hand the man can fondle her breast."
214,215. Cradle,"A superb view opens to the eyes of the man, his topless woman is writhing on his lap, it is impossible to control yourself and the stars seem to be getting closer. The male partner kneels down,  clutching tightly his legs to the buttocks. The girl is on his penis, squeezing the torso of her male partner with her legs bent on the sides. With one hand, she is leaning on the floor and with the second one she is hugging the man’s neck. She seems to be in a free fall, he is watching, admiring and enjoying at the same time. A great position, which will delight the man’s eye and allow the woman to show herself in all her beauty."
215,216. Watch,"For sex, that would satisfy every part of your body, it is impossible to determine any particular period of time. Sometimes just a few minutes are enough, but there are cases when the whole night is not enough. The man lies on his back with legs bent at the knees and pressing them as close to his body as possible, as if making a chair with the back of his body. The female partner sits on the man’s buttocks, her arms are straight and are near the bend knees, her feet are flat and they are on the floor she support on them. The male partner takes the hands of his mistress and she needs to squat on the “chair”."
216,217. Python,"This position is very exciting and you’ll want to repeat it again for sure. It is obvious that all its charm is in very close physical tightness, add a little of passion and indulge breaking back. The woman lies on her back with her feet shoulder width apart, the male partner stands on his knees in front of his female partner with palms in front of him and leans on them. The woman hugs her male partner’s neck closing her hands in lock, she throws her one foot him on foot by crossing back and takes up, the man holds her back with one hand and moves in that position."
217,218. Corkscrew,"If you’re feeling good in bed with someone, do not hurt your partner either by word or deed, the best solution of all problems is good sex and your misunderstanding will be immediately canceled. The female partner lies on her back, hips and pelvis are rotated to the side, straight arms lie on the floor, legs are driven apart. The man is attached on his knees between her legs so that one of her leg is it between his legs, and the second one is on his waist. The woman bends her knees and fixes them on the buttocks and thighs of the male partner. With one hand he holds her knee, the second one puts on her waist."
218,219. Caramel,"The woman is like flowing down from her man, she surrenders to her feelings, she is saturated like a sponge and he likes it. The woman lies down on her back and lifts her kegs straight. The man stands on his knees to lift his female partner’s legs even higher for her to be able to embrace his neck with her feet and her buttocks with her back were lifted up a little. The partners hold each other’s thighs and the man leads. It is reasonable to put a pillow under the female partner’s back, especially, if she is not very tall."
219,220. Bicycle,"Do not be afraid to get lost in your feelings, if you have a good time and both partners are satisfied with intimate relationship, nobody will lose. The woman ceases to four limbs, palms are completely straight for support, her buttocks lifted up, and legs on the toes and slightly apart to the sides. The man stands to the female partner so that her legs are between his legs wide apart, but straight. He takes his mistress over the waist and penetrates into her; it is another option for position behind, you will also like this standup position."
220,221. Helicopter,"Every position has its own individuality and this one is no exception. Many partners go crazy from tactile caresses and legs are very powerful erogenous zone, which you need to caress correctly. The woman lies on her stomach, legs are straight and driven apart, arms are bent in elbows. The male partner lies on top of his lady, so that his body lies between her legs, with his hands he takes the female partner’s feet, legs are slightly bent in knees and he drops them on the floor, the female partner puts her hands on the man’s ankles. If you are very close, you can caress each other’s legs and inflame passion even more."
221,222. Orchid,"When the woman is desired to her partner, she blooms, and when he satisfies her oral sex desires she loses her head, maybe in this not very comfortable position, the man can present much pleasure to his beloved. The woman stands on her hands near the wall facing her male partner, her legs are spread out to the sides. The man stands face to his female partner, inclines his body forward, with his hands he holds her buttocks and caresses the crotch of his chosen one with his mouth. In this position, the male partner can also caress his penis with one hand, well, or he can be completely engaged with his woman."
222,223. Zeus,"It is not a secret that men like incredibly, when women recognize their superiority and they are all just crazy about good blowjob. Therefore, there is nothing better for man’s pride than a blowjob in this position. The man stands with his legs at shoulder length; the woman stands on her knees in front of him on her hunkers so that the genital area of the male partner is right to her face. The man takes the woman’s head to control the rhythm; the woman hugs his buttocks and proceeds to the process. If desired, the male partner can watch his mistress, if it makes him horny, then why not?!"
223,224. Scissor,"This position can be a healing breath of fresh air in your banal sex life, be sure to try it out without postponing for later. The woman lies comfortably on her back next to the male partner who lies on his side facing her. She throws back one leg on his arm bent at the elbow and slips the other between his legs. The man lifts the upper part of his body and focuses on his left arm bent at the elbow, the second hand is on the breast of his mistress, and the right leg is between her legs slightly bent in knee. This position is not complicated, but interesting; you will definitely use it in the bed."
224,225. Elephant,"This carousel differs much from those on which you rode when you were a child, but try to believe that you will not be disappointed, this position is very comfortable, extraordinary and you will feel incredible ecstasy. The man stands on his knees and leans back slightly. The woman gets on his hands with face to the partner, she wraps his whips with her legs for his body to be between her legs and with her arms hugs her male partner’s neck and slightly leans back, he hugs her with arms around her waist too. In this position, the man should not linger with his lips he can fondle her breast."
225,226. London Bridge,"With every movement you get closer to the moment of falling into the abyss, but the farther you advance, the more voluptuous your feelings are. The woman lies on the floor, bends her knees, stretches her arms over her head and bends her body to see the partner. He stands on his knees above her, leans slightly forward, he leans with one his hand close to her body, and hugs her waist with another hand. A huge advance of the position is that the woman’s breast is literally next to the man’s lips, he can suck and bite it watching how sweet his mistress is meandering."
226,227. Spiderman,"Lure your partner in the nets, get under his skin so that he loses track of time and distract from the unnecessary affairs, then he is all at your disposal, and it is very tempting. The woman lies on her side, arms are bent in elbows, one is under her head and support is on it. One leg is bent at the knee, the second is straight and they are driven widely apart. The man ceases on his knees between the female partner’s legs, the straight leg he puts on his shoulder, with one hand he takes the lady by the buttocks, and with the other one he is caressing her crotch during sex."
227,228. Spring,"For this position, the man should be in a good physical shape, because the process is almost entirely dependent on him, but if the woman is insatiable, you have to work hard. The woman lies on her back, bends one leg and takes her by the hand. The male partner sits on top of her not in full; he puts his straight leg next to her and the other one beside the bent leg of the female partner. One hand supports the man’s weight and the other one he puts on his woman’s shoulder, their eyes face each other and bodies move with the beat."
228,229. Eiffel Tower,"Sex is a great way to keep fit, the more you experiment, the more exercises you do during intercourse. The woman stands straight, legs wider than shoulder width and she fully bends upside down, holding the elbows in front of her and resting them on the floor if possible. The man is behind her back, slightly bends his knees, puts his arms on her lower back and penetrates his female partner. Depending on the height of the man, he can be on his toes or just stand still, in the process the couple can hold the position they like."
229,230. Downward Dog,"An ideal position for role-playing games, where one can simulate a variety of situations from a policeman and a criminal, to a maniac and a victim, it remains only to add costumes and a little imagination. The woman kneels down and lies face down, one hand is along the body, the second one is behind the back, legs are driven apart. The male partner kneels between his lady’s legs, his legs are driven apart and feet are together. One hand the man puts on his partner’s neck, with the second one he takes her wrist of the bent arm, which is like turned up behind her back."
230,231. Lace,"It is not easy to keep balance in this position, but if there is your self-confident partner next to you, who is ready to embrace you with his warmth and tenderness, why not take advantage of this opportunity. The woman sits on the man’s neck, he takes a comfortable position, spreading slightly his legs and gently lowers his female partner down for her head to be between his legs. The male partner inclines his head forward and caresses the crotch of his mistress with his mouth, her legs hang down over his shoulders with one hand he holds her under her breast, with the other one he caresses her crotch for greater effect."
231,232. Fire Hydrant,"When you have oral sex with your partner, chase away any thoughts at all, unplug your head and focus on his penis, through which you pass him all your desire and arousal. The man stands, feet are shoulder-width, knees are slightly bent. The woman sits with her face in front of his penis, legs clenched and slightly bent in knees, she slips between the male partner’s feet, with her hands she takes his thighs. The man puts his hands on his lady’s back head, and performs movements with her head and his pelvis at the same time, but it is important to take into account the limits of her capabilities."
232,233. Spork,"Do not have sex under the chandelier, one day, you can shatter it so that it will fall on your head, but in position with the same name, sex will not cause any harm, on the contrary. The man lies on his side, his legs are slightly driven apart, one leg is slightly bent in knee. The woman lies on her back with her buttocks to the male partner’s penis, knees are bent and thrown over the shoulder and buttocks of the man, one hand is resting on his hip, the second one is simply bent in elbow. The man with one hand slips under the female partner’s knees and holds her hip, with the second one he can fondle her breasts."
233,234. Torch,"If your bodies burn with passion, this sensual, relaxed and genuine position will quench this fire, it will embody your desires into reality and sex will be unique. The male partner sits on his legs, which are driven apart a bit. The woman sits facing the man on his arms, she throws her legs on the shoulders of her male partner, with her arms she hugs his back and her head is thrown back. The man holds his mistress with his hands behind her back and makes the movements with her body, sticking her on the penis with increasing rhythm."
234,235. Leapfrog,"Another position if for those who do not mind something original and change several positions before they find new, previously unknown feelings. The woman stands on four limbs, but not on her knees, leans on her arms and toes, with elbows and knees slightly bent, exposes her ass up. The man is behind her back. His legs are wide apart and knees slightly bent, and the body leans forward. The male partner’s arms are on the woman’s buttocks and in the process of sexual intercourse, he moves them to make penetrations deeper."
235,236. Concubine,"She is ready to make his every desire come true, to succumb to his whims or to lay her head for the feeling for his tenderness and warmth, for his presence in her body. The woman lies on her belly, she bents her arms in elbows and throws them forward, she also bends her legs at the knees and opens them by sides inviting her male partner. The man sits down on his knees in front of her buttocks, he raises her legs and pulls to him to lie them on his thighs and to make them embrace his back. The man penetrates into the female partner from bottom, he can caress her buttocks, squeeze them, move them to the beat of his desire. The position is very piquant."
236,237. Hot Lunch,"In this position, the man not only can caress his mistress with oral sex, he seems to see her through and this invisible bond only strengthens his excitement and he gets pleasure from the process. The woman lies on her back and takes the position of birch while the male partner sits on his toes for the head of his chosen one to be between his knees. Then the woman inclines completely her legs forward for them to lie on the man’s knees, and the feet to be behind him, with her hands she caresses her breast. The male partner puts his hands on the woman’s back and holds her in this position, with his mouth he caresses her crotch."
237,238. Clock,"The man can invent so many things for his female partner to satisfy him with oral sex, especially if she is not a fan of this kind of sex, and this position will not give her a chance to resist. The man stands on his outstretched hands against the wall, his legs are straight out to the sides, just lying on the wall. The woman stands face to her male partner with legs straight, pressed together, she inclines her little body and penis of her partner and her head are between her partner’s feet. With her hands the woman can caress the man’s penis, or simply hold his thighs."
238,239. Fusion,"Among two bodies, united by the desire to have sex with each other, it is possible to lay down a lot of funny positions and silhouettes, do not dwell on the classic and bored versions, think broader. The man lies on his side, on his elbow he lifts the upper body, legs are bent and driven apart. The woman lies on her back, one of her legs is stretched out along her male partner’s body, the second one is thrown over his thigh between his legs. With one hand the female partner holds the male partner’s knee, and he, in his turn, with the free hand caresses the crotch of his lady."
239,240. Lotus Flower,"A couple is guaranteed to feel the sea of tenderness and sexuality. The man sits with his legs crossed, the female partner sits on his legs and cuddles with her thighs tight to his hot chest, throwing her legs right on his shoulders. During the sex action the couple can be watching each other’s eyes and be kissing passionately, feeling the passion in absolutely new way. Such a position will let you look at sex from another side, it will be good for the partners, who are passionate persons receiving great pleasure from tactual touching and kissing."
240,241. Wheelbarrow,"You should not quarrel over nothing, if your mistress is guilty, punish her voluptuously, making her meander in unusual position. The man stands and bends slightly his knees and places them shoulder-width apart. His mistress lies down on her belly with her face down, and when the male partner starts raising her waist, she leans on her strengthened palms with his legs embracing her man’s waist and closes them behind his back. In this position, the woman is not in the quite normal position, but on the other hand, you both will get guaranteed the previously unexplored emotions and impressions."
241,242. Gemini,"Two excited bodies, double hugs, burning eyes of two pairs of eyes, this position makes every sensation multiplied by two, and this is a very significant reason for mega delight. The man sits on a flat surface with legs outstretched, slightly apart to the side and bent at the knees. The woman sits facing the male partner, throws her legs on his hips and bends them at the knees. The male partner supports himself by his hand on the backwards; his woman repeats after him and puts her hand backwards, placing it at the man’s feet. He hugs her just above the waist; she puts her hands around his neck, as if pulling him, drawing to a double delight."
242,243. Plow,"In this position, it is unlikely possible to have sex all the night long, but as a fun, to try something new and experience own abilities, it is definitely suitable. The male partner stands, feet together, knees are slightly bent. Next to his feet there is a pillow, on which the woman presses with the elbows and her legs, bent in knees, she gives in a turn into the man’s hands, and he takes her by the ankles. This position is not very safe because standing upside down, the woman will have blood flow into her head, which may cause dizziness or even fainting, but in five minutes nothing happens, that is why try to experiment."
243,244. Libra,"What a pleasure to melt with touch of the hands of your beloved, it is even more pleasant to feel them on your body and a piece of your loved one in yourself, it is true bliss, when you know that someone is dreaming about you. The man sits down with legs driven apart. The woman sits on his hands splitting legs apart her body is turned sideways, with legs as much as possible to the sides as in twine. With one hand, the woman hugs the man’s neck, and he puts his hands on her buttocks and waist. During sex, the male partner can be kissing her naked breast, shoulders, and of course lips."
244,245. Capricorn,"Do not put off till tomorrow the person with whom you can have sex right now, as this is a perfect way to spend time, naked bodies, passionate embraces and a little bit of madness that is a cocktail that will help you chill out. The man sits down with legs straight, slightly driven to the sides, the female partner lies between his legs with her face to the feet looking down. Her arms and legs are bent, widely opened in sides if we look at this position from height the female partner looks like a frog. The man puts his hands on the buttocks of his mistress and moves them to his beat."
245,246. Ladyboy,"The awesome power of a woman over a man always blows male’s mind and unleashes his primordial instincts, especially when woman completely controls sexual intercourse. Ladyboy is a female-dominated pose. The man lies on his back and lifts his legs up, closing them around his female partner’s waist. The woman is situated between his legs, supporting her upper-body on the outstretched arms. This position allows penetrating into the woman extremely deep and controlling the intensity of frictions. It provides a man with a great opportunity to mash, caress or stroke his lover’s buttocks."
246,247. Japan,"Have you heard that Japan has its own Kama Sutra, devised during the Edo period? This elegant, yet hot position combines its most sophisticated moves. It allows the man filling his mouth with lady’s breasts and filling her vagina with his hard penis. The male partner sits comfortably in an armchair with his legs bent at the knees and driven apart as wide as possible. His darling sits in his arms so that one of his legs is between her legs. The woman puts one thigh on the back of the armchair. With his hands, the man can stroke the woman’s breasts and the upper part of her leg. She wraps her arms around his neck in a sweet embrace and caresses the inside of her partner’s thigh."
247,248. Legs on shoulders,"This position makes the night and drives the partners crazy. Focus on what you are doing and feel the pleasure of the moment. The man sits on his legs, which are driven apart a bit. The woman sits on his lap, facing her partner and placing her hands on the floor behind her for support. She throws her legs on the shoulders of her male partner. The male partner begins to rise gradually. He must hold his female partner on his body, leaning on his knees and hands. Both partners should be in sync with the rhythm of penetration. The position provides eye-to-eye contact in contrast to extra touching."
248,249. Mature lady,"Having sex is an obvious fun, but doing it in the same place or in the same positions becomes boring quickly. It is extremely sensual to start things off in the kitchen. The height of the table is usually perfect for the rear-entry sex positions. The woman stands at the table, lifting herself on the tiptoes. Her legs are pressed together. With her elbows, she rests on the tabletop and leans her upper body forwards. The man stands with the straight back behind his darling, putting one leg forward. His hands lie on the waist of the woman and he enters the penis into her vagina from behind."
249,250. Superhero,"This sex position is a must try! It gives the woman the opportunity to feel vulnerable and man the opportunity to be in complete control. The man sits on his knees and spreads his hips apart. The woman lies on her back in front of him, spreading her legs bent at the knees. The partner lifts her buttocks with her hands and helps the lady to rest her hips on his shoulders. She closes her feet together on his back. The Superhero is a position that gives man full access to girl’s fun parts. The male partner can use his hands and mouth to perform the best oral sex."
250,251. Soft landing,"This is the ultimate girl-power position, as she commands the action. Have in mind, your house is full of things just waiting to become sex toys and there are places to have sex in and on. The man lies on his back on the fitness ball, his legs are spread apart, bent at the knees and stand firmly on the floor. His arms are taken back and his palms are fixed on the surface. The woman sits on his penis between the legs of her lover with her back to his face. She pressed her legs together and slightly leans the body forward. The girl places her hands slightly above the male partner’s knees."
251,252. Fifth element,"Even the most sophisticated position may be very comfortable and quite practical especially when the two partners don’t mind some experimenting in sex. In this case, the man has to lie on his back and press his legs to his body and spread them, leaving space for the woman, whom he can squeeze later from both sides with his legs. The woman stands on her knees so that her feet are to the both sides of her partner’s buttocks. She puts her arms around his neck and leans close with her hot body to her partner."
252,253. Unique styles,"One never knows how hot his love life is until he starts looking at acrobatic sexual positions. Of course, the Unique style is not very comfortable, but it is sure to fit your body and spice up sex routine. The lady gets on all fours at the very edge of the bed, leaning forward. Her elbows are touching her knees, her head is down, her hips are spread apart, and her feet hang down from the edge of the bed. The man stands on one leg as close to the bed as possible. He bends the other leg at the knee and lifts it aside, fixing it in that position with his own hand thrown over his shoulder. His pose reminds the swallow element in gymnastics. With the other hand, the male partner grabs his head to keep the balance in such an extravagant stance."
253,254. Asteroid,"What happens if a big asteroid hits the Earth? We don’t know, but we know exactly how you will feel trying this kinky Asteroid position. The man kneels down with legs slightly wide apart. His lover lies down on her belly with her face down, and when the male partner starts raising her waist, she leans on her strengthened palms with his legs embracing her man’s waist. She spreads her legs out, allowing him to get a good grip on her hips and thighs to allow for thrusting. The Asteroid sex position requires a bit of strength on his part, but it shouldn’t be too difficult. Besides, the view is great and it’s just all around a super hot sex position for a man."
254,255. Rocking chair,Swaying movements and the lovers focused on this pleasurable process are the key features of this exotic position. It’s a great position for super deep penetration! The man sits in a chair with straight back and legs spread slightly apart. The woman sits with her buttocks between his legs. She grabs her elbows and lowers her upper body down. She throws her legs on the lover’s shoulders and tries to keep them as straight as possible. The man takes girl’s arms above the elbows and helps her to balance in this position.
255,256. Reverse doggy,"It is a fun position that will bring out the animal in both partners! It’s easy to do, but also super sexy. The woman stands on four limbs with feet driven on sides; the body is inclined with head down supporting on elbows. The male partner is attached to her backside in the same position. Their buttocks are touching together. The male partner’s legs remain closed. It’s up to you to decide if it is the man or woman active position. The only thing is obvious – the motion of the ocean will take both of you to happy town."
256,257. Hostage,"Sometimes it is very dangerous, yet irresistible to be captured by your own desires, so it is worthwhile to bring them to life step-by-step, especially when it comes to sex. The woman sits on a sofa and leans her body against its back. She bends her legs a little and spreads them apart as wide as possible. The man lies on his side on the edge along the couch. His arm is bent at the elbow to support his torso in an elevated position. One of his legs is straight, and the second one is slightly bent at the knee. The female partner places her leg between his thighs. The male partner embraces her raised up shin with the palm."
